name,city,cuisines,rating,budget_tier,address,vegetarian,source
Copper Chimney,Chennai,North Indian | Tandoor | Kebabs,4.3,Rs 500-2000,Greams Road,Yes,https://wibest.in/restaurants/chennai/
Cream Centre,Chennai,Vegetarian | Continental | Mexican,4.2,Rs 500-2000,RA Puram,Yes,https://wibest.in/restaurants/chennai/
Tuscana Pizzeria,Chennai,Italian | Pizza | Continental,4.4,Rs 500-2000,"Khader Nawaz Khan Road, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Amethyst Cafe,Chennai,Cafe | Continental | Brunch,4.4,Rs 500-2000,Royapettah,Yes,https://wibest.in/restaurants/chennai/
Writer's Cafe,Chennai,Cafe | Continental | Bakery,4.5,Rs 500-2000,Gopalapuram,Yes,https://wibest.in/restaurants/chennai/
Ciclo Cafe,Chennai,Cafe | Continental | Italian,4.4,Rs 500-2000,RA Puram,Yes,https://wibest.in/restaurants/chennai/
Madras Pavilion,Chennai,South Indian | North Indian | Family,4.3,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Zaitoon,Chennai,North Indian | Biryani | Kebabs,4.2,Rs 500-2000,"OMR, Thoraipakkam",Yes,https://wibest.in/restaurants/chennai/
Yumbox,Chennai,Asian | Continental | Cafe,4.3,Rs 500-2000,Anna Nagar,Yes,https://wibest.in/restaurants/chennai/
Eden Chennai,Chennai,Continental | Asian | Fine Dining,4.4,Rs 2000+,"The Park, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Zara Tapas Bar,Chennai,Continental | Bar | Mexican,4.3,Rs 2000+,"Khader Nawaz Khan Road, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Ministry of Beer Chennai,Chennai,Brewery | Continental | Bar,4.2,Rs 500-2000,"Phoenix Marketcity, Velachery",Yes,https://wibest.in/restaurants/chennai/
Jewel of Nizam,Hyderabad,Hyderabadi | Biryani | Fine Dining,4.6,Rs 2000+,"The Golkonda, Masab Tank",Yes,https://wibest.in/restaurants/hyderabad/
Firdaus,Hyderabad,Hyderabadi | Mughlai | Fine Dining,4.5,Rs 2000+,"Taj Krishna, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Adaa,Hyderabad,Hyderabadi | North Indian | Fine Dining,4.6,Rs 2000+,Taj Falaknuma Palace,Yes,https://wibest.in/restaurants/hyderabad/
Celeste,Hyderabad,Italian | Continental | Fine Dining,4.5,Rs 2000+,Taj Falaknuma Palace,Yes,https://wibest.in/restaurants/hyderabad/
Dakshin Hyderabad,Hyderabad,South Indian | Chettinad | Fine Dining,4.5,Rs 2000+,"ITC Kakatiya, Begumpet",Yes,https://wibest.in/restaurants/hyderabad/
Cafe Bahar,Hyderabad,Biryani | Hyderabadi | Kebabs,4.3,Rs 500-2000,Basheerbagh,Yes,https://wibest.in/restaurants/hyderabad/
Hotel Shadab,Hyderabad,Biryani | Hyderabadi | Mughlai,4.3,Rs 500-2000,"Ghansi Bazar, Charminar",Yes,https://wibest.in/restaurants/hyderabad/
Mehfil Restaurant Hyderabad,Hyderabad,North Indian | Biryani | Mughlai,4.2,Rs 500-2000,Ameerpet,Yes,https://wibest.in/restaurants/hyderabad/
Olive Bistro,Hyderabad,Italian | Mediterranean | Fine Dining,4.5,Rs 2000+,"Durgam Cheruvu, Jubilee Hills",Yes,https://wibest.in/restaurants/hyderabad/
Fusion 9,Hyderabad,Continental | Asian | Italian,4.4,Rs 2000+,"Road No 1, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Barbeque Nation Hyderabad,Hyderabad,BBQ | North Indian | Family,4.3,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Deccan Pavilion,Hyderabad,North Indian | South Indian | Family,4.3,Rs 2000+,"ITC Kakatiya, Begumpet",Yes,https://wibest.in/restaurants/hyderabad/
Ulavacharu Hyderabad,Hyderabad,Andhra | South Indian | Biryani,4.3,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Spicy Venue,Hyderabad,Andhra | Hyderabadi | Biryani,4.2,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Southern Spice Hyderabad,Hyderabad,Andhra | South Indian | Chettinad,4.3,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Sahib's Barbeque,Hyderabad,BBQ | North Indian | Kebabs,4.2,Rs 500-2000,Gachibowli,Yes,https://wibest.in/restaurants/hyderabad/
Roastery Coffee House,Hyderabad,Cafe | Continental | Bakery,4.5,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Concu,Hyderabad,Cafe | Bakery | Desserts,4.6,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Prost Brew Pub,Hyderabad,Brewery | Continental | Bar,4.3,Rs 2000+,Gachibowli,Yes,https://wibest.in/restaurants/hyderabad/
Hard Rock Cafe Hyderabad,Hyderabad,Continental | American | Bar,4.4,Rs 2000+,"GVK One Mall, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Mainland China Hyderabad,Hyderabad,Chinese | Asian | Family,4.3,Rs 2000+,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Tatva,Hyderabad,Vegetarian | North Indian | Fine Dining,4.3,Rs 2000+,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Le Plaisir,Pune,French | Continental | Fine Dining,4.5,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Arthur's Theme,Pune,Continental | Italian | Fine Dining,4.5,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
The Flour Works,Pune,Cafe | Bakery | Continental,4.5,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Prem's,Pune,North Indian | Continental | Family,4.3,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
ABC Farms,Pune,Continental | Italian | Family,4.2,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Sigree Global Grill,Pune,BBQ | North Indian | Kebabs,4.3,Rs 500-2000,Viman Nagar,Yes,https://wibest.in/restaurants/pune/
The Great Punjab,Pune,North Indian | Tandoor | Family,4.3,Rs 500-2000,Aundh,Yes,https://wibest.in/restaurants/pune/
Poona Guest House,Pune,Maharashtrian | Seafood | Coastal,4.3,Rs 500-2000,Narayan Peth,Yes,https://wibest.in/restaurants/pune/
Janseva Bhojanalay,Pune,Maharashtrian | Vegetarian | Family,4.3,Under Rs 500,Sadashiv Peth,Yes,https://wibest.in/restaurants/pune/
Sukanta,Pune,Vegetarian | Maharashtrian | Family,4.2,Rs 500-2000,Shivaji Nagar,Yes,https://wibest.in/restaurants/pune/
Goodluck Cafe,Pune,Iranian | Cafe | Bakery,4.3,Under Rs 500,Deccan Gymkhana,Yes,https://wibest.in/restaurants/pune/
Wadeshwar,Pune,South Indian | Maharashtrian | Vegetarian,4.3,Under Rs 500,FC Road,Yes,https://wibest.in/restaurants/pune/
Kayani Bakery,Pune,Bakery | Cafe | Desserts,4.5,Under Rs 500,"East Street, Camp",Yes,https://wibest.in/restaurants/pune/
Cafe 1730,Pune,Cafe | Continental | Brunch,4.4,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
The Place Touche the Sizzler,Pune,Continental | Family,4.4,Rs 500-2000,"Moledina Road, Camp",Yes,https://wibest.in/restaurants/pune/
Pasha,Pune,Continental | Asian | Fine Dining,4.3,Rs 2000+,"JW Marriott, Senapati Bapat Road",Yes,https://wibest.in/restaurants/pune/
Spice Kitchen,Pune,North Indian | Asian | Fine Dining,4.4,Rs 2000+,"JW Marriott, Senapati Bapat Road",Yes,https://wibest.in/restaurants/pune/
Effingut Brewerkz,Pune,Brewery | Continental | Bar,4.4,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Independence Brewing Company,Pune,Brewery | Continental | Pub,4.4,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Toit Pune,Pune,Brewery | Continental | Bar,4.4,Rs 2000+,Viman Nagar,Yes,https://wibest.in/restaurants/pune/
Euriska,Pune,Continental | Italian | Fine Dining,4.4,Rs 2000+,Baner,Yes,https://wibest.in/restaurants/pune/
Savya Rasa,Pune,South Indian | Chettinad | Kerala,4.5,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Bhojohori Manna,Kolkata,Bengali | Family | Casual,4.3,Rs 500-2000,"Ekdalia Road, Ballygunge",Yes,https://wibest.in/restaurants/kolkata/
Aminia,Kolkata,Biryani | Mughlai | Kebabs,4.2,Rs 500-2000,"New Market, Esplanade",Yes,https://wibest.in/restaurants/kolkata/
Royal Indian Hotel,Kolkata,Mughlai | Biryani | Kebabs,4.4,Rs 500-2000,"Chitpur, Rabindra Sarani",Yes,https://wibest.in/restaurants/kolkata/
Shiraz Golden Restaurant,Kolkata,Biryani | Mughlai | Kebabs,4.2,Rs 500-2000,Park Circus,Yes,https://wibest.in/restaurants/kolkata/
Mocambo,Kolkata,Continental | Chinese,4.4,Rs 2000+,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Trincas,Kolkata,Continental | Chinese | Bar,4.3,Rs 500-2000,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Balaram Mullick and Radharaman Mullick,Kolkata,Sweets | Desserts | Bengali,4.5,Rs 500-2000,Bhowanipore,Yes,https://wibest.in/restaurants/kolkata/
K C Das,Kolkata,Sweets | Desserts | Bengali,4.3,Under Rs 500,Esplanade,Yes,https://wibest.in/restaurants/kolkata/
Tung Nam,Kolkata,Chinese | Asian,4.3,Under Rs 500,Tiretti Bazaar,Yes,https://wibest.in/restaurants/kolkata/
Eau Chew,Kolkata,Chinese | Asian | Family,4.4,Rs 500-2000,Ganesh Chandra Avenue,Yes,https://wibest.in/restaurants/kolkata/
Kim Ling,Kolkata,Chinese | Asian,4.2,Rs 500-2000,Tangra,Yes,https://wibest.in/restaurants/kolkata/
Beijing Restaurant,Kolkata,Chinese | Asian | Family,4.3,Rs 500-2000,Tangra,Yes,https://wibest.in/restaurants/kolkata/
Bar-B-Q,Kolkata,Chinese | Continental | Bar,4.3,Rs 2000+,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Kasturi Restaurant,Kolkata,Bengali | Family,4.3,Rs 500-2000,Mirza Ghalib Street,Yes,https://wibest.in/restaurants/kolkata/
Kookie Jar,Kolkata,Bakery | Desserts | Cafe,4.5,Rs 500-2000,Rawdon Street,Yes,https://wibest.in/restaurants/kolkata/
Nahoum and Sons,Kolkata,Bakery | Desserts,4.5,Under Rs 500,New Market,Yes,https://wibest.in/restaurants/kolkata/
The Bhoj Company,Kolkata,Bengali | Family,4.3,Rs 500-2000,Salt Lake,Yes,https://wibest.in/restaurants/kolkata/
Saptapadi,Kolkata,Bengali | Family,4.2,Rs 500-2000,Salt Lake Sector V,Yes,https://wibest.in/restaurants/kolkata/
Marco Polo Kolkata,Kolkata,Continental | Chinese | Bar,4.2,Rs 500-2000,Sarat Bose Road,Yes,https://wibest.in/restaurants/kolkata/
Mainland China Kolkata,Kolkata,Chinese | Asian | Fine Dining,4.4,Rs 2000+,Gurusaday Road,Yes,https://wibest.in/restaurants/kolkata/
Oudh 1590,Kolkata,Mughlai | Biryani | Kebabs,4.5,Rs 2000+,Deshapriya Park,Yes,https://wibest.in/restaurants/kolkata/
Sienna Cafe,Kolkata,Cafe | Continental | Bakery,4.5,Rs 500-2000,Hindustan Park,Yes,https://wibest.in/restaurants/kolkata/
Paris Cafe Kolkata,Kolkata,Cafe | Continental | Italian,4.4,Rs 500-2000,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Zaranj,Kolkata,North Indian | Mughlai | Fine Dining,4.3,Rs 2000+,AJC Bose Road,Yes,https://wibest.in/restaurants/kolkata/
Gordhan Thal,Ahmedabad,Gujarati | Vegetarian | Family,4.4,Rs 500-2000,Ambawadi,Yes,https://wibest.in/restaurants/ahmedabad/
Rajwadu,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,Vasna,Yes,https://wibest.in/restaurants/ahmedabad/
Toran Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.2,Rs 500-2000,Ashram Road,Yes,https://wibest.in/restaurants/ahmedabad/
Atithi Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,Khanpur,Yes,https://wibest.in/restaurants/ahmedabad/
Patang Revolving Restaurant,Ahmedabad,Gujarati | North Indian | Fine Dining,4.1,Rs 2000+,Lal Darwaja,Yes,https://wibest.in/restaurants/ahmedabad/
Manek Chowk,Ahmedabad,Street Food | Vegetarian,4.4,Under Rs 500,"Manek Chowk, Old City",Yes,https://wibest.in/restaurants/ahmedabad/
Das Khaman House,Ahmedabad,Street Food | Gujarati | Vegetarian,4.5,Under Rs 500,Raipur,Yes,https://wibest.in/restaurants/ahmedabad/
Asharfi Kulfi,Ahmedabad,Desserts | Sweets,4.5,Under Rs 500,Manek Chowk,Yes,https://wibest.in/restaurants/ahmedabad/
Jassi De Parathe,Ahmedabad,North Indian | Street Food,4.3,Under Rs 500,Drive-In Road,Yes,https://wibest.in/restaurants/ahmedabad/
Cafe Upper Crust,Ahmedabad,Cafe | Continental | Italian,4.4,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Mocha Ahmedabad,Ahmedabad,Cafe | Continental,4.2,Rs 500-2000,Navrangpura,Yes,https://wibest.in/restaurants/ahmedabad/
Tomato's,Ahmedabad,Italian | Continental | Family,4.3,Rs 500-2000,Satellite,Yes,https://wibest.in/restaurants/ahmedabad/
Sankalp Ahmedabad,Ahmedabad,South Indian | Vegetarian | Family,4.2,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Havmor,Ahmedabad,Desserts | Cafe | Family,4.3,Under Rs 500,Law Garden,Yes,https://wibest.in/restaurants/ahmedabad/
Mirch Masala,Ahmedabad,North Indian | Street Food,4.2,Rs 500-2000,SG Highway,Yes,https://wibest.in/restaurants/ahmedabad/
The Project Cafe,Ahmedabad,Continental | Cafe | Italian,4.3,Rs 500-2000,Bodakdev,Yes,https://wibest.in/restaurants/ahmedabad/
Seven Seas,Ahmedabad,Continental | Chinese | Italian,4.2,Rs 500-2000,Vastrapur,Yes,https://wibest.in/restaurants/ahmedabad/
Punjab Honey,Ahmedabad,North Indian | Family,4.2,Rs 500-2000,Naranpura,Yes,https://wibest.in/restaurants/ahmedabad/
Gwalia Sweets,Ahmedabad,Sweets | Desserts | Street Food,4.4,Under Rs 500,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Honest Restaurant,Ahmedabad,Street Food | Vegetarian | Family,4.3,Under Rs 500,Income Tax Circle,Yes,https://wibest.in/restaurants/ahmedabad/
Cafe Piano,Ahmedabad,Cafe | Continental | Italian,4.3,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Zen Ahmedabad,Ahmedabad,Asian | Chinese | Thai,4.3,Rs 2000+,Bodakdev,Yes,https://wibest.in/restaurants/ahmedabad/
Krishna Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.2,Rs 500-2000,Sabarmati,Yes,https://wibest.in/restaurants/ahmedabad/
Pakwan Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,SG Highway,Yes,https://wibest.in/restaurants/ahmedabad/
Hotel Shree Anandhaas,Coimbatore,South Indian | Vegetarian | Family,4.3,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Geo Marina Buhari,Coimbatore,South Indian | Biryani | Family,4.2,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Hyderabad Briyani House,Coimbatore,Biryani | Mughlai,4.2,Rs 500-2000,Peelamedu,Yes,https://wibest.in/restaurants/coimbatore/
Kovai Ulagam,Coimbatore,South Indian | Chettinad | Family,4.3,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Ulundu Vadai,Coimbatore,South Indian | Street Food,4.2,Under Rs 500,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Cafe Diem,Coimbatore,Cafe | Continental | Italian,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Brewista,Coimbatore,Cafe | Continental | Bakery,4.4,Rs 500-2000,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Thalappakatti Coimbatore,Coimbatore,Biryani | Chettinad | Family,4.2,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Kebab Studio,Coimbatore,Kebabs | North Indian | BBQ,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Hotel Aryaas,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Gandhipuram,Yes,https://wibest.in/restaurants/coimbatore/
Madras Coffee House Cbe,Coimbatore,South Indian | Cafe | Vegetarian,4.3,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Vinayaga Bhavan,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Gandhipuram,Yes,https://wibest.in/restaurants/coimbatore/
Royal Hindu,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Town Hall,Yes,https://wibest.in/restaurants/coimbatore/
Sree Shakthi,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Hotel Krishna Bhavan,Coimbatore,South Indian | Vegetarian | Family,4.1,Under Rs 500,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Zara Hatke,Coimbatore,Continental | Italian | Cafe,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
The Residency Coffee Shop,Coimbatore,Continental | Cafe | Family,4.2,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Latest Recipe Le Meridien,Coimbatore,Continental | Asian | Fine Dining,4.4,Rs 2000+,"Le Meridien, Race Course",Yes,https://wibest.in/restaurants/coimbatore/
Bamboo Hut,Coimbatore,Chinese | Asian,4.2,Rs 500-2000,Peelamedu,Yes,https://wibest.in/restaurants/coimbatore/
Mainland China Coimbatore,Coimbatore,Chinese | Asian | Fine Dining,4.3,Rs 2000+,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Hot Breads,Coimbatore,Bakery | Cafe | Desserts,4.2,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Kapikala Coffee House,Coimbatore,Cafe | Bakery | Continental,4.4,Rs 500-2000,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Absolute Barbecues Coimbatore,Coimbatore,BBQ | North Indian | Family,4.4,Rs 2000+,Brookefields Mall,Yes,https://wibest.in/restaurants/coimbatore/
On The Rocks,Coimbatore,North Indian | Continental | Bar,4.2,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Joshi Dahi Bada House,Indore,Street Food | Chaat,4.4,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Vijay Chaat House,Indore,Chaat | Street Food,4.3,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Young Tarang,Indore,Chinese | Quick Bites,4.2,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Madhuram Sweets,Indore,Sweets | Desserts,4.3,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Johnny Hot Dog,Indore,Street Food | Burgers,4.4,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
Guru Ki Dal Bafle,Indore,North Indian | Street Food,4.2,Under Rs 500,Sapna Sangeeta Road,Yes,https://wibest.in/restaurants/indore/
Sanchora Castle,Indore,North Indian | Mughlai,4.3,Rs 500-2000,"AB Road, Vijay Nagar",Yes,https://wibest.in/restaurants/indore/
The Olive House,Indore,Italian | Continental,4.4,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
1st Avenue Cafe,Indore,Cafe | Continental,4.3,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Cafe Coffee Affair,Indore,Cafe | Italian,4.2,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Shree Sagar Garden,Indore,South Indian | North Indian,4.1,Under Rs 500,Palasia,Yes,https://wibest.in/restaurants/indore/
Status Restaurant,Indore,North Indian | Chinese,4.2,Rs 500-2000,Sapna Sangeeta,Yes,https://wibest.in/restaurants/indore/
Hotel Kalyan,Indore,North Indian | Mughlai,4.1,Under Rs 500,MG Road,Yes,https://wibest.in/restaurants/indore/
Bombay Pav Bhaji,Indore,Street Food | Quick Bites,4.3,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
Agarwal Bhojnalaya,Indore,North Indian | Vegetarian,4.2,Under Rs 500,Rajwada,Yes,https://wibest.in/restaurants/indore/
Cafe Terazza,Indore,Continental | Italian,4.3,Rs 500-2000,AB Road,Yes,https://wibest.in/restaurants/indore/
Pind Balluchi Indore,Indore,North Indian | Punjabi,4.1,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Imperial Restaurant,Indore,Mughlai | North Indian,4.2,Rs 500-2000,MG Road,Yes,https://wibest.in/restaurants/indore/
Shreemaya Celebration,Indore,North Indian | Family,4.3,Rs 2000+,RNT Marg,Yes,https://wibest.in/restaurants/indore/
Mayur Hotel Veg,Indore,North Indian | South Indian,4.0,Under Rs 500,RNT Marg,Yes,https://wibest.in/restaurants/indore/
Hawkers Restaurant,Indore,Asian | Chinese,4.2,Rs 500-2000,"AB Road, Vijay Nagar",Yes,https://wibest.in/restaurants/indore/
Saravana Bhavan Indore,Indore,South Indian | Vegetarian,4.3,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
56 Dukan,Indore,Street Food | Chaat,4.4,Under Rs 500,New Palasia,Yes,https://wibest.in/restaurants/indore/
Chappan Bhog,Indore,Sweets | Desserts | Street Food,4.3,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
Niros,Jaipur,North Indian | Continental,4.3,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Spice Court,Jaipur,Rajasthani | North Indian,4.4,Rs 500-2000,Civil Lines,Yes,https://wibest.in/restaurants/jaipur/
Peacock Rooftop Restaurant,Jaipur,North Indian | Family,4.5,Rs 500-2000,Hotel Pearl Palace,Yes,https://wibest.in/restaurants/jaipur/
Anokhi Cafe,Jaipur,Cafe | Continental,4.4,Rs 500-2000,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
Handi Restaurant,Jaipur,North Indian | Mughlai,4.3,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Four Seasons Jaipur,Jaipur,North Indian | Chinese,4.2,Rs 500-2000,"Subhash Marg, C-Scheme",Yes,https://wibest.in/restaurants/jaipur/
Sankalp Jaipur,Jaipur,South Indian | Vegetarian,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Mohan Mahal Rambagh,Jaipur,Modern Indian | Continental | Fine Dining,4.6,Rs 2000+,"Rambagh Palace, Bhawani Singh Road",Yes,https://wibest.in/restaurants/jaipur/
Bar Palladio,Jaipur,Italian | Mediterranean,4.5,Rs 2000+,"Narain Niwas Palace, Kanota Bagh",Yes,https://wibest.in/restaurants/jaipur/
Steam at Rambagh,Jaipur,Italian | Pizza | Continental,4.4,Rs 2000+,Rambagh Palace,Yes,https://wibest.in/restaurants/jaipur/
Cafe Palladio,Jaipur,Cafe | Mediterranean,4.5,Rs 2000+,"Hathroi Fort, Ajmer Road",Yes,https://wibest.in/restaurants/jaipur/
Tattoo Cafe and Lounge,Jaipur,Cafe | Continental,4.3,Rs 500-2000,Hawa Mahal Road,Yes,https://wibest.in/restaurants/jaipur/
Wind View Cafe,Jaipur,Cafe | North Indian,4.2,Under Rs 500,Hawa Mahal Road,Yes,https://wibest.in/restaurants/jaipur/
Padao Restaurant,Jaipur,Rajasthani | North Indian,4.3,Rs 500-2000,Nahargarh Fort,Yes,https://wibest.in/restaurants/jaipur/
On The House,Jaipur,Continental | Italian,4.3,Rs 500-2000,Vaishali Nagar,Yes,https://wibest.in/restaurants/jaipur/
The Forresta Kitchen and Bar,Jaipur,Continental | Asian | Bar,4.4,Rs 2000+,"Jaisinghpura, Amer",Yes,https://wibest.in/restaurants/jaipur/
Masala Chowk,Jaipur,Street Food | Rajasthani,4.2,Under Rs 500,Ram Niwas Garden,Yes,https://wibest.in/restaurants/jaipur/
Sahu Chai Wala,Jaipur,Cafe | Quick Bites,4.3,Under Rs 500,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Pandit Kulfi,Jaipur,Desserts | Sweets,4.4,Under Rs 500,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Rawat Kachori,Jaipur,Street Food | Sweets,4.4,Under Rs 500,Sindhi Camp,Yes,https://wibest.in/restaurants/jaipur/
Samrat Restaurant Jaipur,Jaipur,Rajasthani | Family,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Natraj Restaurant,Jaipur,North Indian | South Indian,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Jaipur Modern Kitchen,Jaipur,Continental | Modern Indian,4.4,Rs 2000+,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
Curious Life Coffee Roasters,Jaipur,Cafe | Bakery,4.5,Rs 500-2000,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
Fusion Bay,Kochi,Seafood | Kerala,4.4,Rs 500-2000,Elamkulam,Yes,https://wibest.in/restaurants/kochi/
Oceanos Restaurant,Kochi,Seafood | Continental,4.3,Rs 500-2000,Panampilly Nagar,Yes,https://wibest.in/restaurants/kochi/
Loafer's Corner Cafe,Kochi,Cafe | Continental,4.3,Rs 500-2000,"Princess Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Brunton Boatyard,Kochi,Continental | Kerala | Fine Dining,4.5,Rs 2000+,"Calvathy, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Grand Pavilion,Kochi,North Indian | South Indian | Family,4.4,Rs 2000+,"Grand Hotel, MG Road",Yes,https://wibest.in/restaurants/kochi/
Mocha Art Cafe,Kochi,Cafe | Continental,4.2,Rs 500-2000,Marine Drive,Yes,https://wibest.in/restaurants/kochi/
Rice Boat,Kochi,Seafood | Kerala | Fine Dining,4.5,Rs 2000+,"Taj Malabar, Willingdon Island",Yes,https://wibest.in/restaurants/kochi/
Thaff Restaurant,Kochi,Lebanese | Mughlai | Biryani,4.3,Rs 500-2000,Kaloor,Yes,https://wibest.in/restaurants/kochi/
Kayees Rahmathulla Hotel,Kochi,Biryani | Mughlai,4.4,Under Rs 500,Mattancherry,Yes,https://wibest.in/restaurants/kochi/
Pai Brothers,Kochi,South Indian | Vegetarian,4.3,Under Rs 500,MG Road,Yes,https://wibest.in/restaurants/kochi/
Caza Maria,Kochi,Mediterranean | Continental,4.4,Rs 2000+,"Jew Town, Mattancherry",Yes,https://wibest.in/restaurants/kochi/
Teapot Cafe,Kochi,Cafe | Continental,4.3,Rs 500-2000,"Peter Celli Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Seagull Restaurant,Kochi,Seafood | Continental,4.2,Rs 500-2000,"Calvathy Road, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Malabar Junction,Kochi,Continental | Kerala | Fine Dining,4.5,Rs 2000+,"Malabar House, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
